pp1.ID,pp1.class,pp1.lrnA,pp1.stn,pp1.sStn,pp1.subSStn,pp1.lsn,pp1.slo,pp1.sle,pp1.kiq,pp1.cc,pp1.pci,pp1.cv,pp1.ola,pp1.csa,pp1.nfa,pp1.asm,pp1.tlr,pp1.nts,pp1.ree,pp1.rme,pp1.rae,pp1.rbe
1,"Pre-Primary One","Language Activities","1.0 Listening","1.1 Common greetings and farewell.",NULL,"2 Hours","By the end of the sub-strand, the learner should be able to:
a) Respond appropriately to general greetings at home and at school.
b) Respond appropriately to time related greetings at home and at school.
c) Respond appropriately to farewell at home and at school.
d) Respond appropriately to farewell with reference to time at home and at school.
e) Enjoy responding appropriately to greetings and farewell at home and at school.","Learners could observe and imitate greetings and farewell.
In pairs learners could be asked to practise greeting and bidding farewell.
Learners could listen to songs, poems and rhymes on general and time related greetings and arewell.
Learners could be encouraged to respond to greetings every morning and respond to farewell whenever need arises.
Learners could be encouraged to respond to each other's greetings and farewell and respond to visitor's greetings and farewell whenever an opportunity arises.
Learners could observe pictures and charts of people greeting that are displayed on walls.
Learners could listen to and watch clips of people greeting and bidding farewell recorded in devices and practise responding to greetings and bidding farewell.
Learners could be encouraged to pay attention to other greeting and farewell opportunities that rise at home and at school.","1. Who do you meet every day?
2. What time is it likely to happen?
3. How do you greet them at that time?","Communication and collaboration, digital literacy, learning to learn","Citizenship: social cohesion
Life skills: Interpersonal relationships, effective communication
Citizenship: Peace","Respect, unity, love","Environmental and Social Activities, Psychomotor and Creative Activities.","Arrange for the learners to listen and respond to parents greetings during the school open day. The learners will also greet and respond to parents greetings and bid parents farewell after the function","In groups learners role play greeting and bidding farewell.
Learners should be encouraged to pay attention to each other
and respond appropriately.","Oral questions, observations, portfolio","Pictures, realia, charts, ICT devices",NULL,"The learner always listens efficiently and consistently responds to greetings and farewell using a variety of relevant responses e.g. Hello Teacher, Good Morning teacher, Good bye Teacher.","The learner consistently listens carefully and is able to respond to greetings and farewell appropriately both verbally and non-verbally. E.g. Hello, Good Morning, Good bye.","Appears to listen carefully but is not able to respond appropriately to greetings and farewell.","The learner consistently has difficulty listening and responding to greetings and bidding farewell both verbally and non-verbally."
2,"Pre-Primary One","Language Activities","1.0 Listening","1.2 Listening for enjoyment",NULL,"2 Hours","By the end of the sub-strand, the learner should be able to:
a) Respond appropriately to a variety of listening experiences in and out of class.
b) Demonstrate enjoyment in a variety of listening experiences.","Learners could be involved in listening to recorded songs, poems and rhymes and be guided to imitate.
Learners could be asked to record clips of their own activities and view them in class. The activities
may include learners singing, telling stories, reciting poems and rhymes.
Learners could listen to short and interesting stories while mimicking some characters in the story.
Learners could be encouraged to sing or dance in response to instrumental music.
Learners could be encouraged to enjoy the listening experiences by using tone variation, puppets,
pictures, costumes, animated stories, musical instruments among others.
Learners could be asked to listen to short stories from a selected resource person, about things in
the immediate environment e.g trees, animals and people and be encouraged to ask, answer
questions or retell parts of the story.","1. What do children enjoy listening to?
2. What makes listening interesting/enjoy able?","Digital literacy, communication and collaboration","Citizenship: Social cohesion
Life skills: Effective communication, self esteem","Respect, love, unity, patriotism","Environmental and Social Activities, Psychomotor and Creative Activities","Organise for a school music day where parents are invited.
Learners could dance and listen to a variety of songs and
instrumental music. They could also listen to stories told by
parents for enjoyment.","Organise for a class fun-day for learners to dance as they listen to recorded songs and
instrumental music for fun. Learners could dress in singing costumes and play simple
musical instruments.","Oral questions, observations, portfolio","ICT devices, costumes, pictures, musical instruments, puppets, animated stories, realia, resource person, radio
programmes",NULL,"Consistently pays attention, responds
with a variety of actions, dances to
rhythm and asks questions about the
story.","Responds by dancing to rhythm, and
sustains attention when listening to
the stories.","Responds to dance and rhythm
but does not sustain attention.","Appears to listen but makes
inaccurate responses"
3,"Pre-Primary One","Language Activities","1.0 Listening","1.3 Active Listening",NULL,"2 Hours","By the end of the sub-strand, the learner should be able to:
a) Respond to simple instructions in and out of class.
b) Take turns during conversations in and out of school.
c) Take pleasure in responding to simple instructions in and out of class.
d) Enjoy taking turns in a conversation in and out of school.","In pairs or small groups, learners could tell news in turns while others are listening.
Learners could view recorded content using ICT devices and be guided to mimic/imitate.
Learners could be given simple instructions and encouraged to respond.
In pairs or small groups, learners could be guided to take turns in conversations.
Learners should be encouraged to answer simple questions during conversations.
Learners could be guided to ask questions during conversations.
Learners could record clips of their  own conversations and be encouraged to view them while receiving positive feedback.
Learners could be asked to retell what others have said in a conversation.
Learners could be guided to appreciate the contribution of others during conversations.
In small groups, learners could be involved in verbal games, songs, poems and rhymes that involve turn taking.
Learners could be asked to observe and imitate demonstrations of turn taking in conversations.
Learners could be guided on how to take turns during conversations.","1. How do you show interest in a conversation?
2. When should you speak during a conversation?
3. How do you seek clarification in a conversation?
4. How can learners be guided to take turns in a conversation?
5. What activities are fun for learners to listen to?","Communication and collaboration, digital literacy, learning to learn","Citizenship: Social cohesion
Life skills: Effective communication","respect, peace, love, unity","Environmental and Social Activities, Creative Activities, Religious Activities","Learners to have their parents or other family members tell them a story with repeated scenes. The person telling the story involves the learners in mimicking, singing and acting out interesting episodes.","Organise for a story telling session by a resource person. Learners could be encouraged to participate as the story is narrated. Selected learners could also wear appropriate attire /costumes for the story being narrated.","Oral questions, observation, portfolio","Recorded audio and video clips, ICT devices, realia, musical instruments, costumes",NULL,"Responds to simple instructions and consistently takes turns in a conversation with variations.","Responds to most simple instructions and most of the times takes turns in a conversation.","Responds to some simple instructions and takes turns in a conversation sometimes.","With guidance responds to a few simple instructions but does not take turns in conversations."
4,"Pre-Primary One","Language Activities","1.0 Listening","1.4 Passing information",NULL,"1 Hour","By the end of the sub-strand, the learner should be able to:
a) Convey verbal messages effectively in and out of class.
b) Listen to information attentively for effective communication in and out of class.
c) Experience pleasure in passing verbal messages in and out of class.","Learners could participate in activities that involve conveying messages to other learners or to teachers e.g. telephone games.
In pairs and small groups, learners could practise conveying messages to each other.
Learners could be guided to pay attention when listening to other children, teachers and parents
and be appreciated for passing messages effectively.
Learners could be engaged in dialogue with each other.
Learners could be involved in conveying messages whenever an opportunity arises.","1. What opportunities arise for children to pass verbal information?
2. How can children be involved in passing verbal messages?
3. What activities prepare learners to listen attentively?","Communication and collaboration, learning to learn, digital literacy","Citizen: Social integration
Life skills: Effective communication.","Respect, responsibility, integrity","Environmental and Social Activities","Organise for a message delivery activity where the teacher sends a learner to take a verbal message home with instructions that s/he will be required to bring feedback.","Learners invite other learners from other classes within the school for a story telling session organized for their class","Oral questions, observations, portfolio","Whisper games, ICT devices, locally made telephone, masks, puppets, costumes, realia",NULL,"Listens effectively and consistently delivers a precise message.","Listens attentively most of the time and delivers slightly related but not fully accurate messages.","Listens attentively sometimes but delivers a distorted message.","Listens with guidance, but fails to deliver message."
5,"Pre-Primary One","Language Activities","1.0 Listening","1.5 Auditory discrimination",NULL,"1 Hour","By the end of the sub-strand, the learner should be able to:
a) Recognize sounds in the environment.
b) Respond appropriately to sounds in the environment.
c) Enjoy listening to sounds in the environment.","Learners could be engaged in activities involving responding to school bells, alarms, sirens, whistles, phone ringing, hooting among others.
Learners could be guided to go for nature walk within the school compound where they identify sounds they hear.
Learners could be involved in voice recognition activities.
Learners could be engaged in identifying various sounds in the environment.
Learners could imitate recorded audio clips.","1. What are the common sounds in the environment?
2. What sounds do different animals produce?
3. Which sounds in the school environment call for specific response?
4. How are children expected to respond to such sounds? ","Learning to learn, digital literacy","Citizenship: Social integration
ESD: Environmental education, Environmental awareness","Respect, Responsibility (e.g. responding to bells, alarms)","Environmental and Social Activities.
Psychomotor and Creative Activities.","Arrange for learners to present a singing game incorporating auditory discrimination in a community function.","Learners take a nature walk within the school environment. They identify and imitate various sounds in the environment.","Oral questions, portfolio, observation","ICT devices, bells, whistle, letter sound games, realia.",NULL,"Consistently identifies, imitates and responds appropriately to sounds in the environment.","Recognizes , imitates and responds appropriately to sounds the environment.","Identifies, imitates and responds appropriately sometimes.","With guidance, identifies some sounds and responds to a few sounds in the environment."
6,"Pre-Primary One","Language Activities","1.0 Listening","1.6 Auditory Memory",NULL,"5 Hours","By the end of the sub-strand, the learner should be able to:
a) Recall a variety of sounds in the environment.
b) Recall letter sounds in class.
c) Take pleasure in listening to sounds in the environment.","Learners could be exposed to a variety of sounds in the environment and be encouraged to recall the sounds they heard.
Learners could listen to letter sound, audio clips and articulate the letter sounds.
In pairs and small groups, learners could be engaged in language games e.g. letter sounds, letter names and fishing games.
Learners could participate in conversations by exploring their prior experience.
Learners could be guided to say what they heard at home or on the way to school.","1. What are the common sounds in the environment?
2. What are the best ways of exposing learners to sounds?
3. How can opportunities be presented for children to listen to these sounds?","Communication and collaboration, learning to learn, digital literacy.","Citizen: Social integration
Life skills: Effective communication, critical thinking.","Unity, responsibility","Environmental and Social Activities.","Arrange for children to present a singing game incorporating auditory memory in a community function.","Learners visit an animal orphanage where the teacher encourages them to listen to sounds made by different animals. They are then guided to recall the sounds made by various animals.","oral questions, observations, portfolio","Electronic devices, flash cards, audio clips, realia",NULL,"Recalls all sounds in the environment, letters of the alphabet and letter sounds.","Recalls most sounds in the environment, letters of the alphabet and letter sounds.","Recalls some sounds in the environment, letters of the alphabet and letter sounds.","With guidance, can recall a few sounds in the environment but is not able to recall letters of the alphabet and letter sounds."
7,"Pre-Primary One","Language Activities","2.0 Speaking","2.1 Common general and time-related greetings and farewell",NULL,"2 Hours","By the end of the sub-strand, the learner should be able to:
a) Use a range of words for general greetings in school and at home.
b) Greet people verbally with reference to time at home and at school.
c) Bid people farewell using appropriate words at home and at school.
d) Take pleasure in greeting and bidding farewell at home and at school.","Learners could listen to a radio program on general and time related greetings and farewell and be guided to imitate.
In pairs or small groups, learners could practice using general and time related greetings and farewell.
Learners could observe pictures or charts on greetings and farewell and practice greeting and bidding farewell.
Learners could be encouraged to respond to greetings and farewell using verbal and non-verbal language at relevant times.
Learners could be guided to greet and bid farewell to visitors who come to class.
Learners could be asked to greet and bid farewell to visitors and family members at home using appropriate words.
Learners could be encouraged to listen to and imitate general and time related greetings and farewell presented on video clips.
Learners could practise general and time related greetings and farewell through role playing communication with locally made phones.","1. What opportunities arise for greetings and bidding farewell at home and at school?
2. Who do you greet at home and at school?
3. How do you greet people at different times of the day?
4. How do you bid people farewell?","Digital literacy, communication and collaboration, learning to learn","Social integration
Life skills: Effective communication","Peace, unity, respect","Environmental and Social Activities,","Organise for a school music day where parents are invited. Learners welcome visitors by greeting them as they arrive for the day and bid them farewell after the event.","Arrange for a visit to another class and practice appropriate ways of greeting and bidding farewell.","Oral questions, observations, portfolio","Recorded clips, phones, pictures, realia, charts, radio programs",NULL,"Consistently greets and bids farewell appropriately using a variety of general as well as time related greetings and farewell.","Appropriately greets and bids farewell using a range of words for greeting and bidding farewell at different times of the day.","Greets and bids farewell but with a limited range of words.","Attempts to greet and bid farewell with guidance"
8,"Pre-Primary One","Language Activities","2.0 Speaking","2.2 Self-expression",NULL,"2 Hours","By the end of the sub-strand, the learner should be able to:
a) Express own needs at home and at school.
b) Express emotions and feelings appropriately at home and at school.
c) Use appropriate vocabulary to express feelings and emotions in school and at home.
d) Use appropriate vocabulary to express own needs in school and at home.
e) Enjoy expressing themselves verbally at home and in school.","Learners could be involved in activities for recognizing emotions.
Learners could name various emotions after observing a demonstration of variety of emotions.
Learners could be encouraged to talk about how they feel and be appreciated for expressing their feelings and emotions appropriately.
Learners could be guided to sing and act out different emotions.
Learners could be asked to look at pictures depicting different feelings and emotions and identify them.
Learners could sing songs and recite poems and rhymes on feelings and emotions In pairs and small groups, learners could practice expressing needs, feelings and emotions and respond to each other.
Learners could observe or listen to the teacher expressing himself or herself.
Learners could be encouraged to express themselves in school and at home.
Learners could view video clips depicting various emotions and feelings and talk about them.
Learners could view clips showing words that are used to express feelings and emotions e.g happy, sad, tired and lonely, enjoy, on wall charts.
Learners could view video clips on inappropriate means of expressing emotions, feelings and needs such as grabbing, shouting, crying, fighting and be guided not to use such means.","1. How do we implore children to express themselves?
2. What is the appropriate way of expressing feelings and emotions?","Digital literacy, communication and collaboration, learning to learn","Citizenship: Social integration
Life skills: Effective communication","Unity, peace, conflict resolution.","Environmental and Social Activities, Religious Activities","During a child's birthday, learners could be encouraged to join in the celebrations and be asked to talk about how they feel and express themselves using various activities.","Learners express themselves by presenting activities such as songs, poems, rhymes or narratives at the school assembly.","Oral questions, observations, portfolio","Costumes, realia, masks, charts, pictures, video clips, ICT devices",NULL,"Consistently expresses her/his needs, feelings and emotions using a variety of appropriate vocabulary.","Uses appropriate vocabulary to express her/his needs, feelings and emotions most of the time.","Expresses needs and emotions using appropriate vocabulary sometimes.","With guidance can express her/his needs and emotions but has difficulty using appropriate vocabulary."
9,"Pre-Primary One","Language Activities","2.0 Speaking","2.3 Polite language",NULL,"2 Hours","By the end of the sub-strand, the learner should be able to:
a) Use appropriate vocabulary when making requests at home and at school.
b) Use appropriate vocabulary when appreciating others at home and at school.
c) Experience pleasure in making requests at home and at school.
d) Take pleasure in appreciating others when need arises.","Learners could imitate making verbal requests (e.g. please, thank you) after watching a demonstration.
In pairs or small groups, learners could practice making requests and appreciating others.
Learners could listen to stories that incorporate making requests and appreciating others.
In pairs, learners could role play making requests and appreciating others.
Learners could be guided to deliberately model the habit of making requests and appreciating others as need arises.
Learners could be encouraged to make requests and appreciate others during relevant situations in school and at home.
Learners could view video clips on request and appreciation and be guided to imitate making requests and appreciation.","1. What do we say when requesting for something?
2. What do we say when we receive something from somebody?
3. What situations arise in and out of class to make requests and appreciate others?","Digital literacy, communication and collaboration","Citizen: Social integration
Life skills: Effective communication, knowing and living with self","Peace, unity, respect","Environmental and Social Activities, Religious Activities","A trip to the shops: Learners could be guided to practise making requests and appreciation when buying at the shop.","Organise for an inter-class outdoor activity where they share various playing materials. Encourage learners to request for materials appropriately and to make appreciation as need arises.","Oral questions, observations, portfolio","Costumes, realia, masks, charts, pictures, video clips, ICT devices",NULL,"Consistently expresses her /his needs,feelings and emotions using a variety of appropriate vocabulary.","Uses appropriate vocabulary to express her/his needs, feelings and emotions most of the time.","Expresses needs and emotions using appropriate vocabulary sometimes.","With guidance can express her/his needs and emotions but has difficulty using appropriate vocabulary."
10,"Pre-Primary One","Language Activities","2.0 Speaking","2.4 Audience Awareness",NULL,"2 Hours","By the end of the sub-strand, the learner should be able to:
a) Demonstrate awareness of own voice in and out of class.
b) Speak clearly when talking to others in and out of class.
c) Speak loudly enough for the audience to hear in school and at home 
d) Experience pleasure in varying own voice when communicating with others.","Learners could record pieces of their own voices and be asked to listen and identify own voice, be guided to project and vary their voices appropriately.
Learners could be encouraged to listen to recorded pieces of other children's voices and comment on how they vary their voice when singing songs, telling stories and reciting poems or rhymes.
Learners could be encouraged to project their voice when reporting an offence e.g. when reporting an offence to the teacher.
In pairs, learners could practise speech activities whereby the distance between the speaker and the listener is varied.
The speaker is encouraged to vary his or her own voice accordingly to meet the needs of the listener.
Learners could listen to a radio or other recorded audio clips. The volume could be deliberately raised or lowered and the learners encouraged to say how this affects their hearing.
Individually and in groups, learners could be involved in presenting songs, poems and rhymes in class and during parade.","1. How should I speak to someone who is near?
2. What should I do to my voice when the person I am speaking to moves away from me?
3. What should I do to my voice for him/her to hear if he/she continues to move further away?","Digital literacy, communication and collaboration, learning to learn.","Citizenship: Social integration
Life skills: Effective communication, self-awareness","Unity, Peace","Psychomotor and Creative Activities,
Environmental and Social Activities.","Take the Learners to a function (such as a wedding or national celebration). Involve them in presenting songs, poems or rhymes to the gathering.","Learners make a variety of presentations such as songs, poems or rhymes or narratives at the school assembly.","oral questions, observation, portfolio","Recorded audio clips of children's voices, radio, costumes, masks",NULL,"Consistently projects and varies own voice efficiently.","Speaks with appropriate projection and variation.","Controls own voice and is able to project and vary own voice most of the time.","Attempts to control own voice but does not know how to project or vary own voice."
